FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,Addedlane.fbx,-100.283907/-0.939061/-259.153977,0.0/31.773457/0.0,ef2b319a-e482-4b0b-9cd5-a2bc9502755d
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,SharpCurveAhead.fbx,24.025629/8.007581/428.996639,0.0/-268.837891/0.0,e5a64334-565f-4111-8326-8eecaa509da3
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\3_other_Model,US101.fbx,-149.364115/16.535170/994.101260,0.0/-165.879517/0.0,8c8ab3da-ba16-449a-8404-3d92c2c692b9
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,SharpCurveAhead.fbx,-165.805679/20.064191/1121.615880,0.0/32.909748/0.0,ff08d96c-2237-4e1b-8f9b-1d930719690b
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,SpeedLimit_50.fbx,-149.560405/16.662646/983.875512,0.0/-159.723999/0.0,f517ca08-cfa2-4dca-b867-582ba4cb42e4
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,SpeedLimit_50.fbx,-34.138080/25.327514/1389.094989,0.0/-170.865906/0.0,9cf37510-235c-40ef-9798-efe195418d15
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,SpeedLimit_50.fbx,1.961542/-3.658803/-157.663966,0.0/-167.216797/0.0,f427d1c7-bc9c-4922-b80b-0ac83d7b38b6
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,Laneends.fbx,1051.391204/-3.526262/409.829841,0.0/-18.666733/0.0,ecae8422-baba-4d02-bed2-fb2a714163cb
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,Addedlane.fbx,1018.411560/2.765847/339.155983,0.0/-260.939301/0.0,8edfccdf-1071-427b-844c-8a26212ab05f
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\3_other_Model,US101.fbx,857.182874/2.461540/369.941541,0.0/-263.499329/0.0,d897a554-a30e-4b07-9124-bcd26399fe07
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,158.074095/-9.779641/197.746068,0.0/-151.850494/0.0,927ec370-cbe6-48f0-9661-2093bf506516
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,158.125341/-10.742820/197.813775,0.0/-156.841049/0.0,fb0ec890-f2cb-4246-b586-dde6a7aaabbf
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,SpeedLimit_50.fbx,143.000749/-7.621458/318.848253,0.0/-224.300232/0.0,f685a64c-fe0b-41e6-b652-a69c4939f9c0
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,Laneends.fbx,77.478670/-2.232394/370.234889,0.0/-224.686890/0.0,c41566ed-bf0c-4692-b10d-fd2a0db2292e
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,NoRightTurn.fbx,138.591835/-9.561115/189.936322,0.0/30.339775/0.0,e45d7677-da0d-4536-840f-b7396633ecc3
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\3_other_Model,US101.fbx,393.949373/3.772417/357.454247,0.0/-89.926056/0.0,9c309be9-98fc-412a-b32a-d057c7e9e5e1
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,SpeedLimit_50.fbx,130.101721/-8.040837/315.398511,0.0/-222.809906/0.0,bd156996-9a0e-4290-8d63-b547af49b40f
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,SharpCurveAhead.fbx,99.997868/5.593010/434.177918,0.0/-263.351501/0.0,dce30a54-cf5a-49b6-9879-64e3fdb1a4e6
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,Laneends.fbx,153.115540/-7.745205/311.780273,0.0/-223.658783/0.0,ed657f78-dd1c-4021-bdc0-d49b2baba6d0
